0,"하다01",AV,"ㅕ불규칙",1,73277,"do; perform","* 학생은 선생님의 질문에 대답을 했다.
* 공부를 하다."
1,"있다01",DV,"규칙",1,68796,"be; stay","* 나는 서울에 일 년 동안 있었다.
"
2,"되다01",AV,"규칙",1,89858,become,"* 아이는 커서 아픈 사람을 고쳐 주는 의사가 되고 싶어 했다.
* 국회의원이 되다."
3,"없다",DV,"규칙",1,89917,non-existent,"* 나는 신은 없다고 믿는 무신론자이다.
* 괴물이 없다."
4,"보다01",AV,"규칙",1,61190,"see; look at; notice","* 나는 잔디밭에 누워 파란 하늘을 보는 것을 좋아한다. 
* 겉모습을 보다."
5,"같다",DV,"규칙",1,62076,"same; identical; equal","* 나는 여동생과 키가 같다.
* 같은 건물."
6,"대하다",AV,"ㅕ불규칙",2,86300,"face; confront","* 스님은 벽을 대하고 앉아서 명상을 시작했다.
* 면상을 대하다."
7,"가다01",AV,"규칙",1,27500,"go; travel","* 나는 친구에게 갈 때마다 책을 빌려 왔다.
* 가게에 가다."
8,"말하다",AV,"ㅕ불규칙",3,62103,"say; tell; speak; talk","* 그녀는 결혼에 대한 자신의 생각을 부모님께 말했다.
* 말한 내용."
9,"위하다",AV,"규칙",2,29736,"do in favor of; do for the benefit of","* 오늘 생일을 맞은 지수를 위해서 친구들은 깜짝 파티를 준비하고 있었다.
* 관광객을 위한 시설."
10,"오다01",AV,"규칙",1,69514,come,"* 민준아, 그쪽에 자리가 좁으면 이쪽으로 더 와.
* 동네로 오다."
11,"알다",AV,"규칙",1,89445,"know; understand","* 선생님은 학생들에게 어려운 내용을 알기 쉽게 설명해 주셨다.
* 가치를 알다."
12,"그렇다",DV,"ㅎ불규칙",1,61178,"so; as such; like that","* 지수는 가만히 있어도 그렇고 숨 쉴 때도 그렇고 가슴이 아프다고 했다.
* 그런 경우."
13,"크다01",DV,"규칙",1,66584,grow,"* 물을 많이 주면 오히려 나무가 크지 못한다고 한다.
* 커 가다."
14,"많다",DV,"규칙",1,69295,"plentiful; many; a lot of","* 승규는 장난기가 많은 개구쟁이이다.
* 많은 물건."
15,"좋다",DV,"규칙",1,79033,"good; great; excellent","* 지수는 옷을 만드는 솜씨가 좋다.
* 좋은 그림."
16,"받다01",AV,"규칙",1,66636,"receive; get","* 나는 부모님으로부터 용돈을 받는다.
* 꽃을 받다."
17,"나오다",AV,"규칙",1,62233,"come out; get out","* 실컷 수영하고 나서 물 밖에 나오니 몸이 으슬으슬 춥다.
* 거리로 나오다."
18,"따르다01",AV,"규칙",2,64547,follow,"* 형사는 범인의 뒤를 따라 범인의 집까지 갔다.
* 뒤를 따르다."
19,"살다",AV,"규칙",1,69579,"live; be alive","* 그들은 건강하게 오래오래 살았다.
* 산 짐승."
20,"생각하다",AV,"ㅕ불규칙",3,66376,think,"* 사건의 선후 관계를 생각하다 보니 문제의 원인을 알 것 같았다.
* 생각하는 동물."
21,"모르다",AV,"르불규칙",1,29712,"not know","* 어머니는 집안일을 하느라 밖에 비가 오는 것도 모르고 계셨다.
* 모르는 사람."
22,"만들다",AV,"규칙",1,60317,"make; create; produce; manufacture","* 사람들은 포도로 술을 만들어 마신다.
* 도자기를 만들다."
23,"먹다02",AV,"규칙",1,58272,"eat; have; consume; take","* 우리는 점심에 식사로 된장찌개를 먹었다.
* 먹을 음식."
24,"어떻다",DV,"ㅎ불규칙",1,70482,such,"* 선생님께서 많이 아프셨다고 들었는데 요즘은 건강이 어떻습니까?
* 근황이 어떻다."
25,"통하다",AV,"ㅕ불규칙",2,58169,"flow; pass; circulate","* 아버지는 다듬은 생선을 바람이 잘 통하는 곳에서 말리셨다.
* 공기가 통하다."
26,"그러다",AV,"규칙",2,37062,"do so","* 설거지는 내가 할 테니까 우선 좀 쉬라는데도 그러네.
"
27,"듣다02",AV,"ㄷ불규칙",1,74104,hear,"* 지수는 귀가 예민해서 작은 소리도 잘 듣는다.
* 목소리를 듣다."
28,"보이다01",AV,"규칙",1,62091,"be viewed; be visible; be in sight","* 문틈으로 책을 읽고 있는 그의 모습이 보인다.
* 창밖으로 보이는 풍경."
